count [L.N(Gp)+L.N(Gn) = 3] : , 11319
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2076
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27005
count [L.N(Gp)+L.N(Gn) = 5] : , 247
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 27
0.0297165
count [L.N(Gp)+L.N(Gn) = 2] : , 347
count [L.N(Gp)+L.N(Gn) = 3] : , 11330
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2030
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27122
count [L.N(Gp)+L.N(Gn) = 5] : , 171
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 28
0.0292962
count [L.N(Gp)+L.N(Gn) = 2] : , 343
count [L.N(Gp)+L.N(Gn) = 3] : , 11365
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1961
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27175
count [L.N(Gp)+L.N(Gn) = 5] : , 156
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 29
0.028814
count [L.N(Gp)+L.N(Gn) = 2] : , 336
count [L.N(Gp)+L.N(Gn) = 3] : , 11325
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1937
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27265
count [L.N(Gp)+L.N(Gn) = 5] : , 137
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 30
0.0283051
count [L.N(Gp)+L.N(Gn) = 2] : , 328
count [L.N(Gp)+L.N(Gn) = 3] : , 11260
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1983
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27229
count [L.N(Gp)+L.N(Gn) = 5] : , 200
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 31
0.0282476
count [L.N(Gp)+L.N(Gn) = 2] : , 324
count [L.N(Gp)+L.N(Gn) = 3] : , 11146
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2077
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27242
count [L.N(Gp)+L.N(Gn) = 5] : , 211
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 32
0.0272508
count [L.N(Gp)+L.N(Gn) = 2] : , 316
count [L.N(Gp)+L.N(Gn) = 3] : , 11280
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1914
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27360
count [L.N(Gp)+L.N(Gn) = 5] : , 130
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 33
0.02686
count [L.N(Gp)+L.N(Gn) = 2] : , 313
count [L.N(Gp)+L.N(Gn) = 3] : , 11340
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1789
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27450
count [L.N(Gp)+L.N(Gn) = 5] : , 108
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 34
0.0257877
count [L.N(Gp)+L.N(Gn) = 2] : , 302
count [L.N(Gp)+L.N(Gn) = 3] : , 11409
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1777
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27404
count [L.N(Gp)+L.N(Gn) = 5] : , 108
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 35
0.0256543
count [L.N(Gp)+L.N(Gn) = 2] : , 297
count [L.N(Gp)+L.N(Gn) = 3] : , 11280
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1813
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27465
